Knowledge statement,Subject,Key stage,Year group,Broad topic,Specific topic,Document,page,introduction,examples,glossary,appendix,purpose of study,aims,attainment targets,statutory guidance,non-statutory guidance,digital literacy (AI),financial literacy (AI),media literacy (AI),oracy (AI),climate and sustainability (AI),digital literacy (SL),financial literacy (SL),media literacy (SL),oracy (SL),climate and sustSLnability (SL)
"faites | faites !; faites de | faites de !: you (pl, sing formal) do, make, go on/for + noun | (you (pl, sing formal)) are doing, are making, are going on/for + noun | (you (pl, sing formal)) have been doing, have been making, have been going on/for + noun | do!, make!, go on/for + noun! (pl, sing formal); you (pl, sing formal) do + -ing, go + -ing, play + noun | (you (pl, sing formal)) are doing + -ing, are going + -ing, are playing + noun | (you (pl, sing formal)) have been doing + -ing, have been going + -ing, have been playing + noun | do + -ing!, go + -ing!, play + noun! (pl, sing formal)",French,Higher,,Required Words,Present indicative (very high frequency irregular inflected verb forms),MFL,89,,,,,,,,Y,,,,,,,,,,,
"font; font de: (they) do, make, go on/for + noun | (they) are doing, are making, are going on/for + noun | (they) have been doing, have been making, have been going on/for + noun, (they) do + -ing, go + -ing, play + noun | (they) are doing + -ing, are going + -ing, are playing + noun | (they) have been doing + -ing, have been going + -ing, have been playing + noun",French,Higher,,Required Words,Present indicative (very high frequency irregular inflected verb forms),MFL,90,,,,,,,,Y,,,,,,,,,,,
peur: fear,French,Higher,,Required Words,Use of avoir + noun where the English equivalent is 'BE' + adjective,MFL,90,,,,,,,,Y,,,,,,,,,,,
"(aux) été: was | (have, has) been",French,Higher,,Required Words,Past participles (frequency irregular),MFL,90,,,,,,,,Y,,,,,,,,,,,
"(aux) eu: had | (have, has) had",French,Higher,,Required Words,Past participles (frequency irregular),MFL,90,,,,,,,,Y,,,,,,,,,,,
avais: (I) had | (I) used to have | (I) was having | (you (sing informal)) had | (you (sing informal)) used to have | (you (sing informal)) were having,French,Higher,,Required Words,Very high frequency imperfect,MFL,90,,,,,,,,Y,,,,,,,,,,,
"avait: (she, he, it, one) had | (she, he, it, one) used to have | (she, he, it, one) was having | (we (informal, impersonal)) had | (we (informal, impersonal)) used to have | (we (informal, impersonal)) were having",French,Higher,,Required Words,Very high frequency imperfect,MFL,90,,,,,,,,Y,,,,,,,,,,,
étais: (I) was + adjectival complement | (I) used to be | (I) was being | (you (sing informal)) were + adjectival complement | (you (sing informal)) used to be | (you (sing informal)) were being,French,Higher,,Required Words,Very high frequency imperfect,MFL,90,,,,,,,,Y,,,,,,,,,,,
"était: (she, he, it, one) was + adjectival complement | (she, he, it, one) used to be | (she, he, it, one) was being | (we (informal, impersonal)) were + adjectival complement | (we (informal, impersonal)) used to be | (we (informal, impersonal)) were being",French,Higher,,Required Words,Very high frequency imperfect,MFL,91,,,,,,,,Y,,,,,,,,,,,
"faisais; faisais de: (I) used to do, used to make, used to go on/for + noun | (I) was doing, was making, was going on/for + noun | (you (sing informal)) used to do, used to make, used to go on/for + noun | (you (sing informal)) were doing, were making, were going on/for + noun; (I) used to do + -ing, used to go + -ing, used to play + noun | (I) was doing + ing, was going + -ing, was playing + noun | (you (sing informal)) used to do + -ing, used to go + -ing, used to play + noun | (you (sing informal)) were doing + -ing, were going + -ing, were playing + noun",French,Higher,,Required Words,Very high frequency imperfect,MFL,91,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) used to do, used to make, used to go on/for + noun | (she, he, it, one) was doing, was making, was going on/for + noun | (we (informal, impersonal)) used to do, used to make, used to go on/for + noun | (we (informal, impersonal)) were doing, were making, were going on/for + noun; (she, he, it, one) used to do + -ing, used to go + -ing, used to play + noun | (she, he, it, one) was doing + -ing, was going + -ing, was playing + noun | (we (informal, impersonal)) used to do + -ing, used to go + -ing, used to play + noun | (we (informal, impersonal)) were doing + -ing, were going + -ing, were playing + noun",French,Higher,,Required Words,Very high frequency imperfect,MFL,92,,,,,,,,Y,,,,,,,,,,,
(to) drink | drinking,French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - boire,MFL,92,,,,,,,,Y,,,,,,,,,,,
(I) drink | (I) am drinking | (I) have been drinking | (you (sing informal)) drink | (you (sing informal)) are drinking | (you (sing informal)) have been drinking | drink! (sing informal),French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - boire,MFL,92,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) drinks | (she, he, it, one) is drinking | (she, he, it, one) has been drinking | (we (informal, impersonal)) drink | (we (informal, impersonal)) are drinking | (we (informal, impersonal)) have been drinking",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - boire,MFL,92,,,,,,,,Y,,,,,,,,,,,
"drank | (have, has) drunk",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - boire,MFL,92,,,,,,,,Y,,,,,,,,,,,
(to) run | running,French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - courir,MFL,92,,,,,,,,Y,,,,,,,,,,,
(I) run | (I) am running | (I) have been running | (you (sing informal)) run | (you (sing informal)) are running | (you (sing informal)) have been running | run! (sing informal),French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - courir,MFL,93,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) runs | (she, he, it, one) is running | (she, he, it, one) has been running | (we (informal, impersonal)) run | (we (informal, impersonal)) are running | (we (informal, impersonal)) have been running",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - courir,MFL,93,,,,,,,,Y,,,,,,,,,,,
"ran | (have, has) run",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - courir,MFL,93,,,,,,,,Y,,,,,,,,,,,
(to) believe | believing,French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - croire,MFL,93,,,,,,,,Y,,,,,,,,,,,
(I) believe | (I) am believing | (I) have been believing) | (you (sing informal)) believe | (you (sing informal)) are believing | (you (sing informal)) have been believing | believe! (sing informal),French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - croire,MFL,93,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) believes | (she, he, it, one) is believing | (she, he, it, one) has been believing | (we (informal, impersonal)) believe | (we (informal, impersonal)) are believing | (we (informal, impersonal)) have been believing",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - croire,MFL,93,,,,,,,,Y,,,,,,,,,,,
"believed | (have, has) believed",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - croire,MFL,93,,,,,,,,Y,,,,,,,,,,,
(to) receive | receiving,French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - recevoir,MFL,93,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) receives | (she, he, it, one) is receiving | (she, he, it, one) has been receiving | (we (informal, impersonal)) receive | (we (informal, impersonal)) are receiving | (we (informal, impersonal)) have been receiving",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - recevoir,MFL,94,,,,,,,,Y,,,,,,,,,,,
"received | (have, has) received",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - recevoir,MFL,94,,,,,,,,Y,,,,,,,,,,,
(to) laugh | laughing,French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - rire,MFL,94,,,,,,,,Y,,,,,,,,,,,
(I) laugh | (I) am laughing | (I) have been laughing | (you (sing informal)) laugh | (you (sing informal)) are laughing | (you (sing informal)) have been laughing | laugh! (sing informal),French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - rire,MFL,94,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) laughs | (she, he, it, one) is laughing | (she, he, it, one) has been laughing | (we (informal, impersonal)) laugh | (we (informal, impersonal)) are laughing | (we (informal, impersonal)) have been laughing",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - rire,MFL,94,,,,,,,,Y,,,,,,,,,,,
"laughed | (have, has) laughed",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - rire,MFL,94,,,,,,,,Y,,,,,,,,,,,
(to) follow | following,French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - suivre,MFL,94,,,,,,,,Y,,,,,,,,,,,
(I) follow | (I) am following | (I) have been following | (you (sing informal)) follow | (you (sing informal)) are following | (you (sing informal)) have been following | follow! (sing informal),French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - suivre,MFL,94,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) follows | (she, he, it, one) is following | (she, he, it, one) has been following | (we (informal, impersonal)) follow | (we (informal, impersonal)) are following | (we (informal, impersonal)) have been following",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - suivre,MFL,94,,,,,,,,Y,,,,,,,,,,,
"followed | (have, has) followed",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - suivre,MFL,94,,,,,,,,Y,,,,,,,,,,,
(to) see | seeing,French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - voir,MFL,95,,,,,,,,Y,,,,,,,,,,,
(I) see | (I) am seeing | (I) have been seeing | (you (sing informal)) see | (you (sing informal)) are seeing | (you (sing informal)) have been seeing | see! (sing informal),French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - voir,MFL,95,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) sees | (she, he, it, one) is seeing | (she, he, it, one) has been seeing | (we (informal, impersonal)) see | (we (informal, impersonal)) are seeing | (we (informal, impersonal)) have been seeing",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - voir,MFL,95,,,,,,,,Y,,,,,,,,,,,
"saw | (have, has) seen",French,Higher,,Required Words,Irregular inflected forms (present indicative and past participle) - voir,MFL,95,,,,,,,,Y,,,,,,,,,,,
"for, since",French,Higher,,Required Words,Present tense with depuis,MFL,95,,,,,,,,Y,,,,,,,,,,,
"there is (of it (m, f)) | there are (of them (m, f)) | there was (of it (m, f)) | there were (of them (m, f)) | there used to be (of it (m, f)) | there used to be (of them (m, f)) | there was (of it (m, f)) | there were (of them (m, f)) | there is going to be (of it (m, f)) | there are going to be (of them (m, f)) | there will be (of it (m, f) | there will be (of them (m, f))",French,Higher,,Required Words,Impersonal verbs,MFL,95,,,,,,,,Y,,,,,,,,,,,
"it is/it's necessary + verb, must + verb",French,Higher,,Required Words,Impersonal verbs,MFL,95,,,,,,,,Y,,,,,,,,,,,
It is/it's + time,French,Higher,,Required Words,Impersonal verbs,MFL,95,,,,,,,,Y,,,,,,,,,,,
it is/it's (nice),French,Higher,,Required Words,Il fait + weather adjective,MFL,95,,,,,,,,Y,,,,,,,,,,,
it rains | it is/it's raining,French,Higher,,Required Words,Il + weather-related expressions,MFL,95,,,,,,,,Y,,,,,,,,,,,
it is/it's (difficult) + verb,French,Higher,,Required Words,il est + adjective + de,MFL,96,,,,,,,,Y,,,,,,,,,,,
...is missing,French,Higher,,Required Words,Impersonal verbs in phrases,MFL,96,,,,,,,,Y,,,,,,,,,,,
it is/it's better + verb,French,Higher,,Required Words,Impersonal verbs in phrases,MFL,96,,,,,,,,Y,,,,,,,,,,,
it is/it's worth + verb,French,Higher,,Required Words,Impersonal verbs in phrases,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(to) have to, must | having to",French,Higher,,Required Words,Modal verbs - devoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(I) have to, must | (I) have been having to | (you (sing informal)) have to, must | (you (sing informal)) have been having to",French,Higher,,Required Words,Modal verbs - devoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) has to, must | (she, he, it, one) has been having to | (we (informal, impersonal)) have to, must | (we (informal, impersonal)) have been having to, must",French,Higher,,Required Words,Modal verbs - devoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(we) have to, must | (we) have been having to, must",French,Higher,,Required Words,Modal verbs - devoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(you (pl, sing formal)) have to, must | (you (pl, sing formal)) have been having to, must",French,Higher,,Required Words,Modal verbs - devoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(they) have to, must | (they) have been having to, must",French,Higher,,Required Words,Modal verbs - devoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(to) be able to, can | being able to",French,Higher,,Required Words,Modal verbs - pouvoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(I) am able to, can | (you (sing informal)) are able to, can",French,Higher,,Required Words,Modal verbs - pouvoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) is able to, can | (we (informal, impersonal)) are able to, can",French,Higher,,Required Words,Modal verbs - pouvoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(we) are able to, can",French,Higher,,Required Words,Modal verbs - pouvoir,MFL,96,,,,,,,,Y,,,,,,,,,,,
"(you (pl, sing formal)) are able to, can",French,Higher,,Required Words,Modal verbs - pouvoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(they) are able to, can",French,Higher,,Required Words,Modal verbs - pouvoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(to) know (how to), can",French,Higher,,Required Words,Modal verbs - savoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(I) know (how to), can | (you (sing informal)) know (how to), can",French,Higher,,Required Words,Modal verbs - savoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) knows (how to), can | (we (informal, impersonal)) know (how to), can",French,Higher,,Required Words,Modal verbs - savoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(we) know (how to), can",French,Higher,,Required Words,Modal verbs - savoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(you (pl, sing formal)) know (how to), can",French,Higher,,Required Words,Modal verbs - savoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(they) know (how to), can",French,Higher,,Required Words,Modal verbs - savoir,MFL,97,,,,,,,,Y,,,,,,,,,,,
(to) want (to) | wanting (to),French,Higher,,Required Words,Modal verbs - vouloir,MFL,97,,,,,,,,Y,,,,,,,,,,,
(I) want (to) | (I) have been wanting (to) | (you (sing informal)) want (to) | (you (sing informal)) have been wanting (to),French,Higher,,Required Words,Modal verbs - vouloir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) wants (to) | (she, he, it, one) has been wanting (to) | (we (informal, impersonal)) want (to) | (we (informal, impersonal)) have been wanting (to)",French,Higher,,Required Words,Modal verbs - vouloir,MFL,97,,,,,,,,Y,,,,,,,,,,,
(we) want (to) | (we) have been wanting (to),French,Higher,,Required Words,Modal verbs - vouloir,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(you (pl, sing formal)) want (to) | (you (pl, sing formal)) have been wanting (to)",French,Higher,,Required Words,Modal verbs - vouloir,MFL,97,,,,,,,,Y,,,,,,,,,,,
(they) want (to) | (they) have been wanting (to),French,Higher,,Required Words,Modal verbs - vouloir,MFL,97,,,,,,,,Y,,,,,,,,,,,
(I) would like | (you (sing informal)) would like,French,Higher,,Required Words,Conditional form of modals,MFL,97,,,,,,,,Y,,,,,,,,,,,
"(she, he, it, one) would like | (we (informal, impersonal)) would like",French,Higher,,Required Words,Conditional form of modals,MFL,97,,,,,,,,Y,,,,,,,,,,,
"had to | (have, has) had to",French,Higher,,Required Words,Perfect tense of modals,MFL,97,,,,,,,,Y,,,,,,,,,,,
"Perfect tense of modals: (aux) pu - was/were able to, could | (have, has) been able to",French,Higher,,Perfect tense of modals,(aux) pu,MFL,98,,,,,,,,Y,,,,,,,,,,,
"Perfect tense of modals: (aux) su - knew (how to), could | (have, has) known (how to), (have, has) been able to",French,Higher,,Perfect tense of modals,(aux) su,MFL,98,,,,,,,,Y,,,,,,,,,,,
"Perfect tense of modals: (aux) voulu - wanted | (have, has) wanted",French,Higher,,Perfect tense of modals,(aux) voulu,MFL,98,,,,,,,,Y,,,,,,,,,,,
Irregular inflectional future: aurai - (I) will have | (I) am going to have,French,Higher,,Irregular inflectional future,aurai,MFL,98,,,,,,,,Y,,,,,,,,,,,
Irregular inflectional future: auras - (you (sing informal)) will have | (you (sing informal)) are going to have,French,Higher,,Irregular inflectional future,auras,MFL,98,,,,,,,,Y,,,,,,,,,,,
"Irregular inflectional future: aura - (she, he, it, one) will have | (she, he, it, one) is going to have | (we (informal, impersonal)) will have | (we (informal, impersonal)) is going to have",French,Higher,,Irregular inflectional future,aura,MFL,98,,,,,,,,Y,,,,,,,,,,,
"Irregular inflectional future: ferai; ferai de - (I) will do, will make, will go on/for + noun | (I) am going to do, am going to make, am going to go on/for + noun; (I) will do + -ing, will go + -ing, will play + noun | (I) am going to do + -ing, am going to go + -ing, am going to play + noun",French,Higher,,Irregular inflectional future,ferai; ferai de,MFL,98,,,,,,,,Y,,,,,,,,,,,
"Irregular inflectional future: feras; feras de - (you (sing informal)) will do, will make, will go on/for + noun | (you (sing informal)) are going to do, are going to make, are going to go on/for + noun; (you (sing informal)) will do + -ing, will go + -ing, will play + noun | (you (sing informal)) are going to do + -ing, are going to go + -ing, are going to play + noun",French,Higher,,Irregular inflectional future,feras; feras de,MFL,98,,,,,,,,Y,,,,,,,,,,,
Irregular inflectional future: irai - (I) will go | (I) am going to go,French,Higher,,Irregular inflectional future,irai,MFL,99,,,,,,,,Y,,,,,,,,,,,
Irregular inflectional future: iras - (you (sing informal)) will go | (you (sing informal)) are going to go,French,Higher,,Irregular inflectional future,iras,MFL,99,,,,,,,,Y,,,,,,,,,,,
"Irregular inflectional future: ira - (she, he, it, one) will go | (she, he, it, one) is going to go | (we (informal, impersonal)) will go | (we (informal, impersonal)) are going to go",French,Higher,,Irregular inflectional future,ira,MFL,99,,,,,,,,Y,,,,,,,,,,,
Irregular inflectional future: serai - (I) will be | (I) am going to be,French,Higher,,Irregular inflectional future,serai,MFL,99,,,,,,,,Y,,,,,,,,,,,
Irregular inflectional future: seras - (you (sing informal)) will be | (you (sing informal)) are going to be,French,Higher,,Irregular inflectional future,seras,MFL,99,,,,,,,,Y,,,,,,,,,,,
"Irregular inflectional future: sera - (she, he, it, one) will be | (she, he, it, one) is going to be | (we (informal, impersonal)) will be | (we (informal, impersonal)) are going to be",French,Higher,,Irregular inflectional future,sera,MFL,99,,,,,,,,Y,,,,,,,,,,,
High frequency conditional (sing): aurais - (I) would have | (you (sing informal)) would have,French,Higher,,High frequency conditional (sing),aurais,MFL,99,,,,,,,,Y,,,,,,,,,,,
"High frequency conditional (sing): aurait - (she, he, it, one) would have | (we (informal, impersonal)) would have",French,Higher,,High frequency conditional (sing),aurait,MFL,99,,,,,,,,Y,,,,,,,,,,,
"High frequency conditional (sing): ferais; ferais de - (I) would do, would make, would go on/for + noun | (you (sing informal)) would do, would make, would go on/for + noun; (I) would do + -ing, would go + -ing, would play + noun | (you (sing informal)) would do + -ing, would go + -ing, would play + noun",French,Higher,,High frequency conditional (sing),ferais; ferais de,MFL,99,,,,,,,,Y,,,,,,,,,,,
High frequency conditional (sing): irais - (I) would go | (you (sing informal)) would go,French,Higher,,High frequency conditional (sing),irais,MFL,100,,,,,,,,Y,,,,,,,,,,,
"High frequency conditional (sing): irait - (she, he, it, one) would go | (we (informal, impersonal)) would go",French,Higher,,High frequency conditional (sing),irait,MFL,100,,,,,,,,Y,,,,,,,,,,,
High frequency conditional (sing): serais - (I) would be | you (sing informal)) would be,French,Higher,,High frequency conditional (sing),serais,MFL,100,,,,,,,,Y,,,,,,,,,,,
"High frequency conditional (sing): serait - (she, he, it, one) would be | (we (informal, impersonal)) would be",French,Higher,,High frequency conditional (sing),serait,MFL,100,,,,,,,,Y,,,,,,,,,,,
"Reflexive use of verbs: perdre; se perdre - (to) lose, losing; (to) get lost, getting lost",French,Higher,,Reflexive use of verbs,perdre; se perdre,MFL,100,,,,,,,,Y,,,,,,,,,,,
Reciprocal use of verbs: quitter; se quitter - (to) leave somewhere | leaving somewhere; (to) leave each other | leaving each other,French,Higher,,Reciprocal use of verbs,quitter; se quitter,MFL,100,,,,,,,,Y,,,,,,,,,,,
Imperative (2nd person singular and plural): Sois...! - Be...! (sing informal),French,Higher,,Imperative (2nd person singular and plural),Sois...!,MFL,100,,,,,,,,Y,,,,,,,,,,,
"Imperative (2nd person singular and plural): Soyez... ! - Be...! (pl, sing formal)",French,Higher,,Imperative (2nd person singular and plural),Soyez... !,MFL,100,,,,,,,,Y,,,,,,,,,,,
Irregular present participles: étant - being,French,Higher,,Irregular present participles,étant,MFL,100,,,,,,,,Y,,,,,,,,,,,
Irregular present participles: ayant - having,French,Higher,,Irregular present participles,ayant,MFL,100,,,,,,,,Y,,,,,,,,,,,
"Irregular present participles: faisant; faisant de - doing, making, going on/for + noun; doing + -ing, going + -ing, playing + noun",French,Higher,,Irregular present participles,faisant; faisant de,MFL,100,,,,,,,,Y,,,,,,,,,,,
"Feminine adjectives: add -e: grand - tall, big (m)",French,Higher,,Feminine adjectives: add -e,grand,MFL,100,,,,,,,,Y,,,,,,,,,,,
"Feminine adjectives: no change with adjectives ending in mute -e: jeune - young (m, f)",French,Higher,,Feminine adjectives: no change with adjectives ending in mute -e,jeune,MFL,100,,,,,,,,Y,,,,,,,,,,,
"Feminine adjectives: -x -> -se: sérieux - conscientious, sensible (m)",French,Higher,,Feminine adjectives: -x -> -se,sérieux,MFL,100,,,,,,,,Y,,,,,,,,,,,
Feminine adjectives: -el -> -lle: traditionnel - traditional (m),French,Higher,,Feminine adjectives: -el -> -lle,traditionnel,MFL,101,,,,,,,,Y,,,,,,,,,,,
"Feminine adjectives: -en -> -nne: ancien - former, ancient (m)",French,Higher,,Feminine adjectives: -en -> -nne,ancien,MFL,101,,,,,,,,Y,,,,,,,,,,,
Feminine adjectives: -f -> -ve: positif - positive (m),French,Higher,,Feminine adjectives: -f -> -ve,positif,MFL,101,,,,,,,,Y,,,,,,,,,,,
Feminine adjectives: -er -> -ère: premier* - first (m),French,Higher,,Feminine adjectives: -er -> -ère,premier*,MFL,101,,,,,,,,Y,,,,,,,,,,,
Plural adjectives: add -s: fort - strong (m),French,Higher,,Plural adjectives: add -s,fort,MFL,101,,,,,,,,Y,,,,,,,,,,,
Plural adjectives: no change for masculine forms already ending in -s and -x: chinois - Chinese (m),French,Higher,,Plural adjectives: no change for masculine forms already ending in -s and -x,chinois,MFL,101,,,,,,,,Y,,,,,,,,,,,
Plural adjectives: no change for masculine forms already ending in -s and -x: dangereux - dangerous (m),French,Higher,,Plural adjectives: no change for masculine forms already ending in -s and -x,dangereux,MFL,101,,,,,,,,Y,,,,,,,,,,,
Plural adjectives: -al -> -aux for masculine: normal - normal (m),French,Higher,,Plural adjectives: -al -> -aux for masculine,normal,MFL,101,,,,,,,,Y,,,,,,,,,,,
Conjunctions: que/qu' - that,French,Higher,,Conjunctions,que/qu',MFL,101,,,,,,,,Y,,,,,,,,,,,
"Regular comparatives: plus (...que/qu')* - adv + -er (...than), more (...than)",French,Higher,,Regular comparatives,plus (...que/qu')* (adv),MFL,101,,,,,,,,Y,,,,,,,,,,,
"Regular comparatives: plus (...que/qu')**; plus de (+ num) - adj + -er (...than), more (...than); more (than + num)",French,Higher,,Regular comparatives,plus (...que/qu')**; plus de (+ num) (adj),MFL,101,,,,,,,,Y,,,,,,,,,,,
Regular comparatives: moins (...que) - less (...than),French,Higher,,Regular comparatives,moins (...que) (adv),MFL,101,,,,,,,,Y,,,,,,,,,,,
"Regular comparatives: moins (...que/qu')**; moins de (+ num) - less (...than); less, fewer (than + num)",French,Higher,,Regular comparatives,moins (...que/qu')**; moins de (+ num) (adj),MFL,101,,,,,,,,Y,,,,,,,,,,,
Regular comparatives: aussi...que/qu' - as...as,French,Higher,,Regular comparatives,aussi...que/qu',MFL,101,,,,,,,,Y,,,,,,,,,,,
Irregular comparative (adj): bon - good (m),French,Higher,,Irregular comparative (adj),bon,MFL,101,,,,,,,,Y,,,,,,,,,,,
Irregular comparative (adj): bonne - good (f),French,Higher,,Irregular comparative (adj),bonne,MFL,102,,,,,,,,Y,,,,,,,,,,,
Irregular comparative (adj): meilleur(e)(s) - better (m) (f) (pl),French,Higher,,Irregular comparative (adj),meilleur(e)(s),MFL,102,,,,,,,,Y,,,,,,,,,,,
"Irregular comparative (adj): mal* - bad (m, f)",French,Higher,,Irregular comparative (adj),mal*,MFL,102,,,,,,,,Y,,,,,,,,,,,
"Irregular comparative (adj): pire(s) - worse (m, f) (pl)",French,Higher,,Irregular comparative (adj),pire(s),MFL,102,,,,,,,,Y,,,,,,,,,,,
Irregular superlative (adj): le meilleur/la meilleure/les meilleur(e)s - the best (m/f/(f)pl),French,Higher,,Irregular superlative (adj),le meilleur/la meilleure/les meilleur(e)s,MFL,102,,,,,,,,Y,,,,,,,,,,,
Irregular superlative (adj): le pire/la pire/les pires - the worst (m/f/pl),French,Higher,,Irregular superlative (adj),le pire/la pire/les pires,MFL,102,,,,,,,,Y,,,,,,,,,,,
Irregular superlative (adv): le mieux - the best,French,Higher,,Irregular superlative (adv),le mieux,MFL,102,,,,,,,,Y,,,,,,,,,,,
Adverbs of time: demain - tomorrow,French,Higher,,Adverbs of time,demain,MFL,102,,,,,,,,Y,,,,,,,,,,,
"Adverbs of manner: vite - quickly, fast",French,Higher,,Adverbs of manner,vite,MFL,102,,,,,,,,Y,,,,,,,,,,,
Adverbs of frequency: souvent - often,French,Higher,,Adverbs of frequency,souvent,MFL,102,,,,,,,,Y,,,,,,,,,,,
Adverbs of place: ici - here,French,Higher,,Adverbs of place,ici,MFL,102,,,,,,,,Y,,,,,,,,,,,
Irregular comparatives (adv): bien - well,French,Higher,,Irregular comparatives (adv),bien,MFL,102,,,,,,,,Y,,,,,,,,,,,
Irregular comparatives (adv): mieux - better,French,Higher,,Irregular comparatives (adv),mieux,MFL,102,,,,,,,,Y,,,,,,,,,,,
Irregular comparatives (adv): mal** - badly,French,Higher,,Irregular comparatives (adv),mal**,MFL,102,,,,,,,,Y,,,,,,,,,,,
"Prepositions: en* - in, by, to",French,Higher,,Prepositions,en*,MFL,102,,,,,,,,Y,,,,,,,,,,,
Prepositions: dans - in,French,Higher,,Prepositions,dans,MFL,102,,,,,,,,Y,,,,,,,,,,,
"Prepositions: pour - for, in order to",French,Higher,,Prepositions,pour,MFL,102,,,,,,,,Y,,,,,,,,,,,
Prepositions: sans - without,French,Higher,,Prepositions,sans,MFL,102,,,,,,,,Y,,,,,,,,,,,
Prepositions: avant; avant de + infinitive - before; before + verb,French,Higher,,Prepositions,avant; avant de + infinitive,MFL,102,,,,,,,,Y,,,,,,,,,,,
Prepositions: après avoir + pp - after having + pp,French,Higher,,Prepositions,après avoir + pp,MFL,102,,,,,,,,Y,,,,,,,,,,,
"Verb + preposition combinations, with and without meaning change: finir; finir de + infinitive - (to) end, finish | ending, finishing; (to) finish (+ verb) | finishing (+ verb)",French,Higher,,"Verb + preposition combinations, with and without meaning change",finir; finir de + infinitive,MFL,102,,,,,,,,Y,,,,,,,,,,,
"Verb + preposition combinations, with and without meaning change: arriver; arriver à + infinitive - (to) arrive | arriving; (to) manage + verb, succeed in + verb | managing + verb, succeeding in + verb",French,Higher,,"Verb + preposition combinations, with and without meaning change",arriver; arriver à + infinitive,MFL,103,,,,,,,,Y,,,,,,,,,,,
"Contracted forms of articles after à and de to agree with gender and number: à - at, to, in, on",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,à,MFL,103,,,,,,,,Y,,,,,,,,,,,
"Contracted forms of articles after à and de to agree with gender and number: au/à l' - at the, to the, in the, on the (m)",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,au/à l',MFL,103,,,,,,,,Y,,,,,,,,,,,
"Contracted forms of articles after à and de to agree with gender and number: à la/à l' - at the, to the, in the, on the (f)",French,Higher,,Contracted forms of articles after à and de to agree with gender and number,à la/à l',MFL,103,,,,,,,,Y,,,,,,,,,,,
